@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
443,'2019/02/19 23:26:21:023',3,11,11,10,0,0,0
444,'2019/02/19 23:26:21:044',3,12,9,10,0,0,0
445,'2019/02/19 23:26:21:053',3,13,10,9,0,0,0
446,'2019/02/19 23:26:21:063',3,13,11,9,0,0,0
447,'2019/02/19 23:26:21:073',3,12,9,9,0,0,0
448,'2019/02/19 23:26:21:082',3,12,10,9,0,0,0
449,'2019/02/19 23:26:21:089',3,12,10,9,0,0,0
450,'2019/02/19 23:26:21:103',3,13,10,9,0,0,0
451,'2019/02/19 23:26:21:112',3,11,10,9,0,0,0
452,'2019/02/19 23:26:21:123',3,12,10,9,0,0,0
453,'2019/02/19 23:26:21:133',3,12,10,9,0,0,0
454,'2019/02/19 23:26:21:143',3,12,10,10,0,0,0
455,'2019/02/19 23:26:21:153',3,12,9,9,0,0,0
456,'2019/02/19 23:26:21:163',3,11,12,9,0,0,0
457,'2019/02/19 23:26:21:173',3,12,10,9,0,0,0
458,'2019/02/19 23:26:21:183',3,12,9,10,0,0,0
459,'2019/02/19 23:26:21:193',3,12,10,10,0,0,0
460,'2019/02/19 23:26:21:202',3,12,10,10,0,0,0
461,'2019/02/19 23:26:21:213',3,11,9,9,0,0,0
462,'2019/02/19 23:26:21:223',3,12,10,9,0,0,0
463,'2019/02/19 23:26:21:233',3,12,9,9,0,0,0
464,'2019/02/19 23:26:21:244',3,13,10,10,0,0,0
465,'2019/02/19 23:26:21:253',3,12,11,9,0,0,0
466,'2019/02/19 23:26:21:263',3,12,9,9,0,0,0
467,'2019/02/19 23:26:21:274',3,12,9,10,0,0,0
468,'2019/02/19 23:26:21:283',3,12,9,9,0,0,0
469,'2019/02/19 23:26:21:294',3,12,8,10,0,0,0
470,'2019/02/19 23:26:21:302',3,12,9,9,0,0,0
471,'2019/02/19 23:26:21:312',3,13,10,10,0,0,0
472,'2019/02/19 23:26:21:323',3,12,10,9,0,0,0
473,'2019/02/19 23:26:21:333',3,12,10,9,0,0,0
474,'2019/02/19 23:26:21:343',3,13,10,9,0,0,0
475,'2019/02/19 23:26:21:353',3,12,10,10,0,0,0
476,'2019/02/19 23:26:21:363',3,12,10,9,0,0,0
477,'2019/02/19 23:26:21:372',3,12,11,9,0,0,0
478,'2019/02/19 23:26:21:383',3,12,10,10,0,0,0
479,'2019/02/19 23:26:21:393',3,13,10,9,0,0,0
480,'2019/02/19 23:26:21:402',3,12,11,10,0,0,0
481,'2019/02/19 23:26:21:413',3,11,9,9,0,0,0
482,'2019/02/19 23:26:21:423',3,12,9,10,0,0,0
483,'2019/02/19 23:26:21:433',3,12,10,10,0,0,0
484,'2019/02/19 23:26:21:442',3,11,10,9,0,0,0
485,'2019/02/19 23:26:21:453',3,11,10,10,0,0,0
486,'2019/02/19 23:26:21:463',3,12,9,9,0,0,0
487,'2019/02/19 23:26:21:473',3,11,9,10,0,0,0
488,'2019/02/19 23:26:21:483',3,12,10,10,0,0,0
489,'2019/02/19 23:26:21:493',3,13,10,10,0,0,0
490,'2019/02/19 23:26:21:504',3,12,9,9,0,0,0
491,'2019/02/19 23:26:21:513',3,13,9,10,0,0,0
492,'2019/02/19 23:26:21:523',3,13,8,10,0,0,0
493,'2019/02/19 23:26:21:534',3,13,10,10,0,0,0
