@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
157,'2019/02/13 09:19:04:279',1,44,14,109,109,1
158,'2019/02/13 09:19:04:373',1,42,16,107,107,1
159,'2019/02/13 09:19:04:469',1,38,15,110,110,1
160,'2019/02/13 09:19:04:563',1,35,15,113,113,1
161,'2019/02/13 09:19:04:657',1,34,16,113,113,1
162,'2019/02/13 09:19:04:782',1,32,17,111,111,1
163,'2019/02/13 09:19:04:875',1,27,18,111,111,1
164,'2019/02/13 09:19:04:984',1,26,20,108,108,1
165,'2019/02/13 09:19:05:076',1,21,19,110,110,1
166,'2019/02/13 09:19:05:170',1,17,19,108,108,1
167,'2019/02/13 09:19:05:264',1,14,21,105,105,1
168,'2019/02/13 09:19:05:357',1,11,21,105,105,1
169,'2019/02/13 09:19:05:470',1,7,22,104,104,1
170,'2019/02/13 09:19:05:563',1,4,23,101,101,1
171,'2019/02/13 09:19:05:673',1,4,24,100,100,1
172,'2019/02/13 09:19:05:766',1,3,24,97,97,1
173,'2019/02/13 09:19:05:859',1,2,26,94,94,1
174,'2019/02/13 09:19:05:963',1,3,27,91,91,1
175,'2019/02/13 09:19:06:045',1,1,26,92,92,1
176,'2019/02/13 09:19:06:154',1,1,28,92,92,1
177,'2019/02/13 09:19:06:248',1,1,30,92,92,1
178,'2019/02/13 09:19:06:342',1,1,31,95,95,1
179,'2019/02/13 09:19:06:439',1,1,36,90,90,1
180,'2019/02/13 09:19:06:532',1,2,38,94,94,1
181,'2019/02/13 09:19:06:626',1,0,39,94,94,1
182,'2019/02/13 09:19:06:720',1,1,46,90,90,1
183,'2019/02/13 09:19:06:813',1,1,47,92,92,1
184,'2019/02/13 09:19:06:907',1,1,50,91,91,1
185,'2019/02/13 09:19:08:154',1,1,89,91,91,1
186,'2019/02/13 09:19:08:248',1,2,91,91,91,1
187,'2019/02/13 09:19:08:341',1,3,94,92,92,1
188,'2019/02/13 09:19:08:438',1,4,94,95,95,1
189,'2019/02/13 09:19:08:537',1,3,97,93,93,1
190,'2019/02/13 09:19:08:646',1,3,98,93,93,1
191,'2019/02/13 09:19:08:740',1,1,100,93,93,1
192,'2019/02/13 09:19:08:833',1,2,104,88,88,1
193,'2019/02/13 09:19:08:927',1,0,104,89,89,1
194,'2019/02/13 09:19:09:018',1,0,108,84,84,1
195,'2019/02/13 09:19:09:583',1,0,113,82,82,1
196,'2019/02/13 09:19:09:677',1,0,113,81,81,1
197,'2019/02/13 09:19:09:865',1,0,107,84,84,1
198,'2019/02/13 09:19:09:976',1,1,103,82,82,1
199,'2019/02/13 09:19:10:060',1,3,99,86,86,1
200,'2019/02/13 09:19:10:170',1,6,94,89,89,1
201,'2019/02/13 09:19:10:263',1,10,88,87,87,1
202,'2019/02/13 09:19:10:357',1,14,86,85,85,1
203,'2019/02/13 09:19:10:454',1,17,86,83,83,1
204,'2019/02/13 09:19:10:541',1,19,84,82,82,1
205,'2019/02/13 09:19:10:650',1,19,83,79,79,1
206,'2019/02/13 09:19:10:744',1,17,80,81,81,1
207,'2019/02/13 09:19:10:837',1,18,77,81,81,1
208,'2019/02/13 09:19:10:931',1,21,76,79,79,1
209,'2019/02/13 09:19:11:031',1,23,76,79,79,1
210,'2019/02/13 09:19:11:124',1,24,77,78,78,1
211,'2019/02/13 09:19:11:218',1,28,77,77,77,1
212,'2019/02/13 09:19:11:312',1,31,78,75,75,1
213,'2019/02/13 09:19:11:420',1,33,81,74,74,1
214,'2019/02/13 09:19:11:501',1,37,84,71,71,1
215,'2019/02/13 09:19:11:610',1,36,84,74,74,1
216,'2019/02/13 09:19:11:704',1,40,86,70,70,1
217,'2019/02/13 09:19:11:797',1,42,87,67,67,1
218,'2019/02/13 09:19:11:891',1,42,86,68,68,1
219,'2019/02/13 09:19:11:980',1,40,85,70,70,1
220,'2019/02/13 09:19:12:076',1,40,83,69,69,1
221,'2019/02/13 09:19:12:182',1,38,82,70,70,1
222,'2019/02/13 09:19:12:267',1,38,80,70,70,1
